,Pupil Name,Date of Birth,School Birthday,Month of Birthday,Weekday of Birthday,BDs_per_WD_and_M
444,Lotta Ucceli,6/17/2015,2022-06-17,6,4,30
445,Gerrie Bonehill,11/5/2012,2022-11-04,11,4,39
446,Buckie Ezzle,8/29/2015,2022-08-29,8,0,12
447,Kizzie Columbine,6/30/2012,2022-06-30,6,3,12
448,Bobbie Cobbing,9/28/2012,2022-09-28,9,2,7
449,Dasha Traite,4/8/2014,2022-04-08,4,4,56
450,Janetta Dressell,8/26/2015,2022-08-26,8,4,24
451,Randall Barnfield,2/5/2012,2022-02-04,2,4,31
452,Vonni Mullin,3/21/2013,2022-03-21,3,0,8
453,Reg Watting,2/19/2012,2022-02-18,2,4,31
454,Stanley Monks,1/15/2012,2022-01-14,1,4,30
455,Cori Oolahan,11/25/2012,2022-11-25,11,4,39
456,Killian Cater,1/23/2015,2022-01-21,1,4,30
457,Angil Grundy,12/24/2011,2022-12-23,12,4,48
458,Winston Coltan,7/29/2013,2022-07-29,7,4,49
459,Elianora Killshaw,4/7/2014,2022-04-07,4,3,11
460,Elsa Yakutin,7/3/2012,2022-07-01,7,4,49
461,Melodie Maine,10/15/2011,2022-10-14,10,4,27
462,Gena Hollyman,1/14/2013,2022-01-14,1,4,30
463,Vallie Beetles,5/21/2015,2022-05-20,5,4,30
464,Jada Lindenman,9/4/2014,2022-09-02,9,4,41
465,Consolata Augur,9/9/2013,2022-09-09,9,4,41
466,Gail Farnish,11/6/2012,2022-11-04,11,4,39
467,Jdavie Chard,7/20/2013,2022-07-20,7,2,19
468,Hartwell Drakeley,1/21/2014,2022-01-21,1,4,30
469,Tanitansy Lowther,12/4/2012,2022-12-02,12,4,48
470,Cherie Himsworth,12/2/2011,2022-12-02,12,4,48
471,Pail Weadick,4/21/2015,2022-04-21,4,3,11
472,Ivy Bridgen,3/6/2012,2022-03-04,3,4,31
473,Porty Lowdiane,1/31/2015,2022-01-31,1,0,14
474,Emylee Shawel,5/2/2014,2022-05-02,5,0,7
475,Hayward MacKellen,4/29/2014,2022-04-29,4,4,56
476,Charita Mabee,8/27/2013,2022-08-26,8,4,24
477,Lelah Huyghe,10/16/2011,2022-10-14,10,4,27
478,Audre Balsdon,10/16/2012,2022-10-14,10,4,27
479,Melesa Carillo,7/23/2013,2022-07-22,7,4,49
480,Penny Nertney,4/24/2012,2022-04-22,4,4,56
481,Devan Soppett,7/16/2015,2022-07-15,7,4,49
482,Philippe Plume,8/16/2013,2022-08-16,8,1,15
483,Hunt Zamboniari,12/1/2013,2022-12-01,12,3,20
484,Ralina O'Lunny,5/29/2014,2022-05-27,5,4,30
485,Marianne Doig,11/8/2011,2022-11-08,11,1,12
486,Hildegaard Loveredge,2/3/2012,2022-02-03,2,3,12
487,Renee Ingray,7/26/2012,2022-07-26,7,1,12
488,Stevana Baddiley,2/16/2015,2022-02-16,2,2,8
489,Rafaelita Punshon,11/9/2011,2022-11-09,11,2,17
490,Dacie Harnetty,3/24/2012,2022-03-24,3,3,19
491,Davidde Linch,1/22/2015,2022-01-21,1,4,30
492,Helsa Parham,5/4/2014,2022-05-04,5,2,8
493,Gustave Pickervance,11/3/2012,2022-11-03,11,3,13
494,Stearn Quilleash,9/18/2011,2022-09-16,9,4,41
495,Bernhard Pakes,4/9/2013,2022-04-08,4,4,56
496,Zebadiah Nudde,11/9/2011,2022-11-09,11,2,17
497,Edgardo Bickell,3/31/2014,2022-03-31,3,3,19
498,Alane Biddiss,7/29/2012,2022-07-29,7,4,49
499,Marylynne Hinckesman,10/10/2014,2022-10-10,10,0,14
500,Leslie Hann,5/24/2013,2022-05-24,5,1,15
501,Johna Degue,2/17/2012,2022-02-17,2,3,12
502,Leupold Paladino,4/30/2014,2022-04-29,4,4,56
503,Adham Purrier,5/17/2012,2022-05-17,5,1,15
504,Adlai Trippitt,8/22/2013,2022-08-22,8,0,12
505,Anthony Paolazzi,12/17/2013,2022-12-16,12,4,48
506,Muhammad Daysh,4/14/2015,2022-04-14,4,3,11
507,Reyna Dudson,4/27/2015,2022-04-27,4,2,12
508,Olivia Elsay,6/29/2014,2022-06-29,6,2,15
509,Rica Greensitt,8/21/2013,2022-08-19,8,4,24
510,Puff Wattam,6/29/2013,2022-06-29,6,2,15
511,Claudina Biasetti,2/20/2014,2022-02-18,2,4,31
512,Terrance Sibary,6/4/2015,2022-06-03,6,4,30
513,Celinka Skey,9/23/2014,2022-09-23,9,4,41
514,Dew Bartlett,11/23/2014,2022-11-23,11,2,17
515,Gaye Dallison,5/26/2015,2022-05-26,5,3,12
516,Terry Lillow,8/10/2013,2022-08-10,8,2,10
517,Shel Vice,1/23/2015,2022-01-21,1,4,30
518,Drucy Greet,10/18/2011,2022-10-18,10,1,9
519,Ingelbert Sessuns,7/14/2013,2022-07-14,7,3,12
520,Zak Lillee,8/26/2013,2022-08-26,8,4,24
521,Mirilla Davidow,11/21/2014,2022-11-21,11,0,11
522,Buiron Crauford,3/18/2012,2022-03-18,3,4,31
523,Gizela Oke,4/30/2015,2022-04-29,4,4,56
524,Candace Glowacz,1/3/2015,2022-01-03,1,0,14
525,Rockey Center,1/30/2014,2022-01-28,1,4,30
526,Lannie Bessey,2/6/2012,2022-02-04,2,4,31
527,Blanche Edling,11/2/2012,2022-11-02,11,2,17
528,Yevette Crimpe,4/15/2015,2022-04-15,4,4,56
529,Kimmy Brody,3/13/2012,2022-03-11,3,4,31
530,Burnaby Gosby,9/9/2013,2022-09-09,9,4,41
531,Bearnard Swainston,1/11/2013,2022-01-11,1,1,12
532,Chrissie Torrans,8/2/2014,2022-08-02,8,1,15
533,Marc Bailey,9/28/2014,2022-09-28,9,2,7
534,Merl Pudner,10/3/2014,2022-10-03,10,0,14
535,Ivar Noddings,5/5/2013,2022-05-05,5,3,12
536,Maryjo Dewicke,2/9/2012,2022-02-09,2,2,8
537,Kippar Lambrecht,6/24/2012,2022-06-24,6,4,30
538,Donielle Selwyne,3/3/2015,2022-03-03,3,3,19
539,Kerstin Escreet,10/28/2013,2022-10-28,10,4,27
540,Theresina Woolnough,9/19/2014,2022-09-19,9,0,7
541,Marie Antuk,8/11/2015,2022-08-11,8,3,10
542,Dolorita Borrows,11/20/2011,2022-11-18,11,4,39
543,Cass Seivertsen,3/1/2015,2022-03-01,3,1,13
544,Trumaine Goncalo,1/9/2012,2022-01-07,1,4,30
545,Frank Mersh,9/4/2014,2022-09-02,9,4,41
546,Magdalene Treend,10/20/2011,2022-10-20,10,3,14
547,Blanca Arnaez,4/27/2015,2022-04-27,4,2,12
548,Shirline Saben,2/7/2012,2022-02-07,2,0,12
549,Grace Fernie,6/20/2014,2022-06-20,6,0,9
550,Theda Ryam,6/15/2013,2022-06-15,6,2,15
551,Ginny Sebyer,12/22/2014,2022-12-22,12,3,20
552,Jesse Worsall,4/24/2015,2022-04-22,4,4,56
553,Sammy Ferrarotti,7/23/2013,2022-07-22,7,4,49
554,Alta Ianittello,1/3/2013,2022-01-03,1,0,14
555,Joye Sleit,7/29/2013,2022-07-29,7,4,49
556,Hanny Cullity,7/1/2015,2022-07-01,7,4,49
557,Fair Brandi,6/14/2012,2022-06-14,6,1,11
558,Derry Crowest,8/2/2015,2022-08-02,8,1,15
559,Sasha Tukesby,5/19/2013,2022-05-19,5,3,12
560,Jeffry De Blasio,6/9/2012,2022-06-09,6,3,12
561,Mildrid Blurton,7/4/2013,2022-07-04,7,0,11
562,Benedetto Staker,9/11/2012,2022-09-09,9,4,41
563,Yalonda Cranch,4/8/2015,2022-04-08,4,4,56
564,Andeee Dorrity,7/25/2015,2022-07-25,7,0,11
565,Aron Cosslett,7/16/2013,2022-07-15,7,4,49
566,Agretha Ivanchikov,9/23/2011,2022-09-23,9,4,41
567,Desirae Tondeur,7/15/2014,2022-07-15,7,4,49
568,De witt Moorton,6/6/2014,2022-06-06,6,0,9
569,Etti Ehlerding,11/23/2012,2022-11-23,11,2,17
570,Stavros Rhead,11/20/2014,2022-11-18,11,4,39
571,Ansley Took,8/17/2015,2022-08-17,8,2,10
572,Langston Janjic,1/6/2014,2022-01-06,1,3,6
573,Yasmin Jinkins,9/4/2011,2022-09-02,9,4,41
574,Corry Lassells,11/24/2011,2022-11-24,11,3,13
575,Kareem Shieldon,4/11/2012,2022-04-11,4,0,10
576,Blair Troyes,12/19/2013,2022-12-19,12,0,20
577,Ivy Briscam,1/7/2014,2022-01-07,1,4,30
578,Billie Keyte,4/10/2013,2022-04-08,4,4,56
579,Rhodie Lissimore,1/9/2012,2022-01-07,1,4,30
580,Jeannie Clausen-Thue,12/17/2012,2022-12-16,12,4,48
581,Lonnard Stivey,5/2/2014,2022-05-02,5,0,7
582,Jany Batcock,9/13/2012,2022-09-13,9,1,12
583,Demetris Aslett,7/23/2013,2022-07-22,7,4,49
584,Tammy Elcombe,7/13/2013,2022-07-13,7,2,19
585,Eddy O'Gaven,8/26/2013,2022-08-26,8,4,24
586,Stacee Martine,9/6/2013,2022-09-06,9,1,12
587,Vivyanne Aughtie,6/23/2013,2022-06-23,6,3,12
588,Flinn Tollfree,3/12/2013,2022-03-11,3,4,31
589,Indira Verna,6/24/2012,2022-06-24,6,4,30
590,Maximilianus Hannam,12/11/2012,2022-12-09,12,4,48
591,Galvan Pioch,12/4/2013,2022-12-02,12,4,48
592,Margi Sentance,4/26/2015,2022-04-26,4,1,4
593,Ches Thornebarrow,1/14/2014,2022-01-14,1,4,30
594,Evelin Myott,8/2/2015,2022-08-02,8,1,15
595,Emmalyn Piegrome,12/18/2014,2022-12-16,12,4,48
596,Lindy Wallman,11/27/2012,2022-11-25,11,4,39
597,Kori Feavers,12/7/2011,2022-12-07,12,2,9
598,Gussy Dowdell,7/8/2014,2022-07-08,7,4,49
599,Merci Tutsell,12/1/2014,2022-12-01,12,3,20
600,Kameko Sherer,8/4/2012,2022-08-04,8,3,10
601,Amye Barwis,6/5/2012,2022-06-03,6,4,30
602,Louisa McRamsey,8/23/2015,2022-08-23,8,1,15
603,Aveline Peggram,1/18/2015,2022-01-18,1,1,12
604,Valerie MacDonagh,7/4/2014,2022-07-04,7,0,11
605,Ileana Paolicchi,6/3/2012,2022-06-03,6,4,30
606,Warden McDonnell,12/23/2013,2022-12-23,12,4,48
607,Cristi Hargrove,8/16/2012,2022-08-16,8,1,15
608,Warde Fullwood,10/19/2011,2022-10-19,10,2,13
609,Tristan Parman,12/18/2012,2022-12-16,12,4,48
610,Patience Turfin,3/23/2012,2022-03-23,3,2,6
611,Melva Bradburn,7/1/2014,2022-07-01,7,4,49
612,Robinett Kingaby,2/27/2015,2022-02-25,2,4,31
613,Jennee Portch,4/1/2012,2022-04-01,4,4,56
614,Tomi Murrison,5/11/2015,2022-05-11,5,2,8
615,Freddi Phillps,11/10/2011,2022-11-10,11,3,13
616,Hagan Rawne,10/4/2014,2022-10-04,10,1,9
617,Frieda Peart,3/2/2012,2022-03-02,3,2,6
618,Lucien Crean,12/8/2013,2022-12-08,12,3,20
619,Gilemette Vezey,3/12/2013,2022-03-11,3,4,31
620,Janith Amburgy,4/17/2013,2022-04-15,4,4,56
621,Cross Oleksinski,1/14/2015,2022-01-14,1,4,30
622,Krystle Davage,7/27/2012,2022-07-27,7,2,19
623,Doria Oulet,7/28/2014,2022-07-28,7,3,12
624,Normie Cleave,3/20/2015,2022-03-18,3,4,31
625,Waly Tomet,2/9/2014,2022-02-09,2,2,8
626,Wadsworth Gores,12/20/2011,2022-12-20,12,1,8
627,Kyrstin Liebermann,12/8/2011,2022-12-08,12,3,20
628,Deni Baudin,11/3/2011,2022-11-03,11,3,13
629,Ceciley Kubicki,7/28/2015,2022-07-28,7,3,12
630,Jordanna Siley,4/22/2013,2022-04-22,4,4,56
631,Bobbette Whiteley,2/7/2013,2022-02-07,2,0,12
632,Peyton Addekin,5/11/2013,2022-05-11,5,2,8
633,Lief Barajaz,2/19/2012,2022-02-18,2,4,31
634,Esmaria Tawn,7/20/2013,2022-07-20,7,2,19
635,Suzanne Guiso,6/4/2013,2022-06-03,6,4,30
636,Korella Lavelle,5/12/2013,2022-05-12,5,3,12
637,Harold Heminsley,10/16/2012,2022-10-14,10,4,27
638,Minnaminnie Vaneev,5/26/2014,2022-05-26,5,3,12
639,Amitie Elvy,10/6/2013,2022-10-06,10,3,14
640,Markus Madill,8/21/2014,2022-08-19,8,4,24
641,Carmon Phear,1/9/2013,2022-01-07,1,4,30
642,Freddie Eldered,6/25/2015,2022-06-24,6,4,30
643,Vallie Payton,10/8/2012,2022-10-07,10,4,27
644,Rafaello Shelp,12/25/2014,2022-12-23,12,4,48
645,Elana Dupree,4/9/2012,2022-04-08,4,4,56
646,Davita Reder,7/21/2013,2022-07-21,7,3,12
647,Zedekiah Anstie,9/8/2011,2022-09-08,9,3,14
648,Cassie Margaritelli,9/20/2011,2022-09-20,9,1,12
649,Sinclair Blacklock,5/5/2015,2022-05-05,5,3,12
650,Farrell Nise,1/8/2013,2022-01-07,1,4,30
651,Georgena Richings,5/22/2015,2022-05-20,5,4,30
652,Kahlil Buie,9/28/2012,2022-09-28,9,2,7
653,Drusi Beckenham,4/14/2012,2022-04-14,4,3,11
654,Bogey Andresen,1/23/2012,2022-01-21,1,4,30
655,Jobi Dreossi,4/15/2015,2022-04-15,4,4,56
656,Isacco Holston,6/28/2012,2022-06-28,6,1,11
657,Andris Somerbell,3/27/2015,2022-03-25,3,4,31
658,Casey Kelshaw,2/24/2015,2022-02-24,2,3,12
659,Dru Lorryman,8/15/2012,2022-08-15,8,0,12
660,Gothart Duigan,2/19/2014,2022-02-18,2,4,31
661,Jarred Aggas,1/14/2014,2022-01-14,1,4,30
662,Emili Matyja,1/5/2013,2022-01-05,1,2,14
663,Sherilyn Jilkes,3/22/2012,2022-03-22,3,1,13
664,Jacklin Scoyne,1/29/2015,2022-01-28,1,4,30
665,Kip Bannell,10/18/2012,2022-10-18,10,1,9
666,Miles Pavitt,7/27/2015,2022-07-27,7,2,19
667,Hedvig Abbot,3/20/2014,2022-03-18,3,4,31
668,Melisa Fibbens,3/31/2015,2022-03-31,3,3,19
669,Jecho Ebbrell,11/2/2014,2022-11-02,11,2,17
670,Barris Traves,11/18/2013,2022-11-18,11,4,39
671,Norrie Kencott,7/25/2012,2022-07-25,7,0,11
672,Randell Gummow,8/1/2013,2022-08-01,8,0,12
673,Robby Scrivener,11/19/2014,2022-11-18,11,4,39
674,Gonzales Blanchard,6/4/2013,2022-06-03,6,4,30
675,Marcela Gath,11/5/2011,2022-11-04,11,4,39
676,Meryl Laytham,11/22/2012,2022-11-22,11,1,12
677,Jacinda Gelderd,5/12/2015,2022-05-12,5,3,12
678,Ilyssa Fortie,5/21/2015,2022-05-20,5,4,30
679,Pascale Casini,5/14/2013,2022-05-13,5,4,30
680,Katlin Maulden,2/19/2013,2022-02-18,2,4,31
681,Perkin Caughey,10/16/2012,2022-10-14,10,4,27
682,Leopold Banton,7/21/2012,2022-07-21,7,3,12
683,Brittaney Cumberpatch,8/24/2013,2022-08-24,8,2,10
684,Glynda Lidierth,1/23/2015,2022-01-21,1,4,30
685,Lukas Gallon,12/12/2011,2022-12-12,12,0,20
686,Massimo Bedminster,4/13/2014,2022-04-13,4,2,12
687,Franciska Betonia,7/11/2012,2022-07-11,7,0,11
688,Kathrine Ducastel,5/10/2012,2022-05-10,5,1,15
689,Jaymee Mannakee,10/2/2012,2022-09-30,9,4,41
690,Cam Riccardini,2/1/2015,2022-02-01,2,1,13
691,Jamima Cossor,11/5/2013,2022-11-04,11,4,39
692,Red Braybrook,5/12/2012,2022-05-12,5,3,12
693,Agnese Wahlberg,7/18/2013,2022-07-18,7,0,11
694,Erasmus Simmers,12/29/2014,2022-12-29,12,3,20
695,Amye Berni,10/3/2014,2022-10-03,10,0,14
696,Korney Perring,9/23/2013,2022-09-23,9,4,41
697,Tiphany Yepiskov,6/27/2015,2022-06-27,6,0,9
698,Jeannette Kocher,7/7/2013,2022-07-07,7,3,12
699,Brig Tremontana,3/1/2014,2022-03-01,3,1,13
700,Hiram Birkenshaw,7/3/2013,2022-07-01,7,4,49
701,Louis Gabbatiss,2/22/2012,2022-02-22,2,1,13
702,Christoforo Gillon,2/14/2012,2022-02-14,2,0,12
703,Tatum Daughton,4/8/2015,2022-04-08,4,4,56
704,Amberly Wones,7/22/2013,2022-07-22,7,4,49
705,Suzanna Richardeau,5/7/2013,2022-05-06,5,4,30
706,Jamima Heed,9/10/2011,2022-09-09,9,4,41
707,Sandy Helks,4/2/2013,2022-04-01,4,4,56
708,Gabbi Dowdell,6/22/2013,2022-06-22,6,2,15
709,Faustine Trimmell,12/22/2013,2022-12-22,12,3,20
710,Keelia McBoyle,3/21/2015,2022-03-21,3,0,8
711,Wanids Jaffrey,7/12/2013,2022-07-12,7,1,12
712,Flint Donlon,3/10/2015,2022-03-10,3,3,19
713,Emile Sprules,2/18/2014,2022-02-18,2,4,31
714,Ferne Poure,5/21/2015,2022-05-20,5,4,30
715,Antoine Haycox,9/14/2014,2022-09-14,9,2,7
716,Henka Tartt,5/31/2014,2022-05-31,5,1,15
717,Glennis Eastlake,10/25/2012,2022-10-25,10,1,9
718,Norris Denness,7/13/2014,2022-07-13,7,2,19
719,Michele Keford,3/15/2015,2022-03-15,3,1,13
720,Chere Vinson,3/4/2013,2022-03-04,3,4,31
721,Natalie Swynfen,10/6/2013,2022-10-06,10,3,14
722,Zane Slaght,12/15/2011,2022-12-15,12,3,20
723,Penni Nobriga,5/27/2014,2022-05-27,5,4,30
724,Deb Martina,3/22/2013,2022-03-22,3,1,13
725,Alix McGonnell,10/20/2012,2022-10-20,10,3,14
726,Poppy Denniston,11/12/2012,2022-11-11,11,4,39
727,Dino Behr,12/20/2012,2022-12-20,12,1,8
728,Nikolai Paynton,4/6/2015,2022-04-06,4,2,12
729,Kalindi Abella,12/5/2011,2022-12-05,12,0,20
730,Lina Jedrzejczyk,9/13/2014,2022-09-13,9,1,12
731,Darrick Shellard,3/27/2013,2022-03-25,3,4,31
732,Eunice Brazur,1/16/2012,2022-01-14,1,4,30
733,Livvyy Vasquez,9/15/2011,2022-09-15,9,3,14
734,Hyacintha Figgen,6/2/2012,2022-06-02,6,3,12
735,Reggis Daniello,10/16/2014,2022-10-14,10,4,27
736,Braden Berrane,4/30/2015,2022-04-29,4,4,56
737,Gil Wyrall,12/13/2011,2022-12-13,12,1,8
738,Emylee Yurygyn,4/24/2014,2022-04-22,4,4,56
739,Rori Colvill,4/8/2014,2022-04-08,4,4,56
740,Margot Ibbitson,2/24/2015,2022-02-24,2,3,12
741,Brenden Greengrass,11/20/2012,2022-11-18,11,4,39
742,Pepi Marte,12/30/2013,2022-12-30,12,4,48
743,Lindi Veare,8/27/2014,2022-08-26,8,4,24
744,Randi Slucock,8/16/2015,2022-08-16,8,1,15
745,Tate Guitton,7/9/2014,2022-07-08,7,4,49
746,Farris Queree,11/11/2013,2022-11-11,11,4,39
747,Janina Goulstone,6/20/2012,2022-06-20,6,0,9
748,Samara McCuaig,9/6/2012,2022-09-06,9,1,12
749,Austin Sangwin,7/7/2014,2022-07-07,7,3,12
750,Jasmina Langforth,4/3/2012,2022-04-01,4,4,56
751,Marve Geaney,4/15/2014,2022-04-15,4,4,56
752,Alyda Drinkel,8/22/2012,2022-08-22,8,0,12
753,Karry McLean,10/5/2011,2022-10-05,10,2,13
754,Jorgan Beggan,2/28/2015,2022-02-28,2,0,12
755,Ned Mathouse,11/12/2013,2022-11-11,11,4,39
756,Harrietta Chumley,1/20/2012,2022-01-20,1,3,6
757,Florida Forestall,11/2/2012,2022-11-02,11,2,17
758,Dodie Potteril,10/5/2011,2022-10-05,10,2,13
759,Lacey Addeycott,8/28/2013,2022-08-26,8,4,24
760,Yoshiko Cona,12/23/2011,2022-12-23,12,4,48
761,Maggi Readwood,2/7/2014,2022-02-07,2,0,12
762,Davon Regglar,12/27/2012,2022-12-27,12,1,8
763,Laird Dainty,6/27/2015,2022-06-27,6,0,9
764,Melvin Halfhyde,5/12/2012,2022-05-12,5,3,12
765,Emlen Dumingo,11/19/2014,2022-11-18,11,4,39
766,Aliza Tarbett,4/6/2014,2022-04-06,4,2,12
767,Rosalynd Henrion,1/26/2013,2022-01-26,1,2,14
768,Agata Martyn,11/23/2013,2022-11-23,11,2,17
769,Basia Oswal,7/6/2015,2022-07-06,7,2,19
770,Trumaine Beggs,8/31/2012,2022-08-31,8,2,10
771,Loreen MacCauley,6/7/2015,2022-06-07,6,1,11
772,Lynea Zorzi,1/24/2013,2022-01-24,1,0,14
773,Hans Bolstridge,11/29/2012,2022-11-29,11,1,12
774,Irvine Roycroft,8/11/2013,2022-08-11,8,3,10
775,Thorstein Valente,3/11/2014,2022-03-11,3,4,31
776,Rosemonde Grovier,4/7/2015,2022-04-07,4,3,11
777,Pepe Elsey,12/4/2014,2022-12-02,12,4,48
778,Nick Jurzyk,12/26/2014,2022-12-26,12,0,20
779,Katharina Joscelyne,4/17/2014,2022-04-15,4,4,56
780,Skip Geipel,9/25/2014,2022-09-23,9,4,41
781,Parrnell Penrith,9/4/2011,2022-09-02,9,4,41
782,Reggis Ferandez,3/18/2014,2022-03-18,3,4,31
783,Valentine Bischof,6/28/2014,2022-06-28,6,1,11
784,Adah Townson,5/2/2013,2022-05-02,5,0,7
785,Andy Yosifov,6/15/2015,2022-06-15,6,2,15
786,Tracey Milham,1/2/2015,2021-12-31,12,4,48
787,Tammie Meynell,4/10/2014,2022-04-08,4,4,56
788,Haywood Tithecote,10/28/2013,2022-10-28,10,4,27
789,Caye Gove,8/13/2013,2022-08-12,8,4,24
790,Armstrong Nutman,1/5/2012,2022-01-05,1,2,14
791,Mariska Bront,9/20/2013,2022-09-20,9,1,12
792,Shina Ivanin,7/5/2013,2022-07-05,7,1,12
793,Vance Bissiker,6/26/2013,2022-06-24,6,4,30
794,Ebenezer Tussaine,2/28/2015,2022-02-28,2,0,12
795,Findley Enriques,1/17/2014,2022-01-17,1,0,14
796,Rosamond Belshaw,2/6/2014,2022-02-04,2,4,31
797,Barclay Fieldgate,4/30/2012,2022-04-29,4,4,56
798,Tammie O' Connell,12/29/2011,2022-12-29,12,3,20
799,Jami Plunket,7/16/2014,2022-07-15,7,4,49
800,Stacee Spinetti,4/20/2015,2022-04-20,4,2,12
801,Correna Segrave,7/9/2013,2022-07-08,7,4,49
802,Gil Hele,5/3/2012,2022-05-03,5,1,15
803,Isaiah Doig,11/1/2013,2022-11-01,11,1,12
804,Davidson Quodling,6/19/2014,2022-06-17,6,4,30
805,Saul Swaby,7/28/2014,2022-07-28,7,3,12
806,Melanie Glassard,8/22/2013,2022-08-22,8,0,12
807,Sharity Galland,1/16/2012,2022-01-14,1,4,30
808,Antoine Lillgard,5/10/2014,2022-05-10,5,1,15
809,Dorotea Wadesworth,9/12/2011,2022-09-12,9,0,7
810,Kimberlee Ciani,10/24/2014,2022-10-24,10,0,14
811,Pauline Dorsey,3/3/2015,2022-03-03,3,3,19
812,Bettina Forward,7/7/2015,2022-07-07,7,3,12
813,Mike Ginnelly,10/30/2011,2022-10-28,10,4,27
814,Conroy Hatcliffe,6/18/2012,2022-06-17,6,4,30
815,Cecil Gavaghan,1/12/2013,2022-01-12,1,2,14
816,Filippa Pattingson,11/4/2014,2022-11-04,11,4,39
817,Janene Harford,2/27/2012,2022-02-25,2,4,31
818,Carri Livings,7/27/2012,2022-07-27,7,2,19
819,Mitzi Kleinhandler,10/19/2013,2022-10-19,10,2,13
820,Shaine Matas,10/16/2012,2022-10-14,10,4,27
821,Fraze Tutin,9/2/2013,2022-09-02,9,4,41
822,Nola Mallett,6/10/2015,2022-06-10,6,4,30
823,Hardy Burford,4/5/2014,2022-04-05,4,1,4
824,Sarine Pedlingham,9/16/2013,2022-09-16,9,4,41
825,Bary Amyes,7/20/2013,2022-07-20,7,2,19
826,Berthe Sheerman,9/29/2013,2022-09-29,9,3,14
827,Charisse Divina,10/21/2014,2022-10-21,10,4,27
828,Calla Emms,7/22/2013,2022-07-22,7,4,49
829,West Breheny,4/25/2015,2022-04-25,4,0,10
830,Patsy Piner,9/29/2013,2022-09-29,9,3,14
831,Fairleigh Janusz,2/28/2012,2022-02-28,2,0,12
832,Rodrick Lepere,9/19/2012,2022-09-19,9,0,7
833,Kissie Burkert,7/28/2015,2022-07-28,7,3,12
834,Alanson Joost,7/10/2015,2022-07-08,7,4,49
835,Shelly Deares,7/17/2014,2022-07-15,7,4,49
836,Angy Moseby,2/27/2012,2022-02-25,2,4,31
837,Corabel Triggol,2/5/2015,2022-02-04,2,4,31
838,Jose Kennan,9/23/2011,2022-09-23,9,4,41
839,Ferd Dey,4/5/2015,2022-04-05,4,1,4
840,Katlin Bumphrey,2/28/2012,2022-02-28,2,0,12
841,Dana Gauld,7/15/2014,2022-07-15,7,4,49
842,Alys McReidy,10/21/2011,2022-10-21,10,4,27
843,Maure Kenwell,10/20/2012,2022-10-20,10,3,14
844,Virgie Roark,8/12/2015,2022-08-12,8,4,24
845,Jacklin Biggerstaff,5/30/2015,2022-05-30,5,0,7
846,Wade Fautly,9/28/2014,2022-09-28,9,2,7
847,Loydie Capewell,4/6/2014,2022-04-06,4,2,12
848,Emmalynn Sankey,6/11/2014,2022-06-10,6,4,30
849,Shannon Gerring,8/30/2013,2022-08-30,8,1,15
850,Denna Cornewall,10/17/2011,2022-10-17,10,0,14
851,Meyer Barca,7/13/2014,2022-07-13,7,2,19
852,Goldia Macklin,1/17/2013,2022-01-17,1,0,14
853,Curry Dawbery,4/25/2013,2022-04-25,4,0,10
854,Heidi Elderkin,11/16/2012,2022-11-16,11,2,17
855,Peggie Derrett,6/29/2012,2022-06-29,6,2,15
856,Ingunna Hauck,1/26/2015,2022-01-26,1,2,14
857,Emmott Gosson,2/1/2012,2022-02-01,2,1,13
858,Guinna O'Currine,2/7/2015,2022-02-07,2,0,12
859,Haleigh Causier,5/31/2012,2022-05-31,5,1,15
860,Karel Hovenden,10/6/2014,2022-10-06,10,3,14
861,Ragnar Heathcott,2/3/2015,2022-02-03,2,3,12
862,Axe Gleder,5/3/2014,2022-05-03,5,1,15
863,Poul Frane,4/11/2012,2022-04-11,4,0,10
864,Jerry Pelerin,11/17/2011,2022-11-17,11,3,13
865,Gayler Littledike,12/8/2013,2022-12-08,12,3,20
866,Bartlett Chilvers,8/22/2015,2022-08-22,8,0,12
867,Harwell Munnings,12/25/2013,2022-12-23,12,4,48
868,Russell Constantine,11/14/2012,2022-11-14,11,0,11
869,Zulema Ludlom,1/25/2015,2022-01-25,1,1,12
870,Dewain Wogdon,10/10/2014,2022-10-10,10,0,14
871,Merrily Altamirano,3/18/2013,2022-03-18,3,4,31
872,Bartholemy Rattrie,2/24/2013,2022-02-24,2,3,12
873,Leroi Heikkinen,4/21/2012,2022-04-21,4,3,11
874,Kamila Blakes,6/29/2014,2022-06-29,6,2,15
875,Vincent Seedull,1/12/2012,2022-01-12,1,2,14
876,Remy La Torre,4/23/2013,2022-04-22,4,4,56
877,Brig Lawty,3/28/2015,2022-03-28,3,0,8
878,Kassie Darben,2/10/2014,2022-02-10,2,3,12
879,Barnie Drees,4/25/2013,2022-04-25,4,0,10
880,Leslie Pezey,8/2/2013,2022-08-02,8,1,15
881,Ted Gobel,5/29/2014,2022-05-27,5,4,30
882,Noach Pagen,11/11/2013,2022-11-11,11,4,39
883,Elita Taggert,11/8/2012,2022-11-08,11,1,12
884,Tony Roches,7/3/2013,2022-07-01,7,4,49
885,Phelia Wines,12/7/2011,2022-12-07,12,2,9
886,Kris Boarer,2/4/2013,2022-02-04,2,4,31
887,Courtnay Fearey,1/30/2012,2022-01-28,1,4,30
888,Bartie Pedrazzi,1/8/2014,2022-01-07,1,4,30
889,Pincas Sogg,8/19/2015,2022-08-19,8,4,24
