,Account Number,Transaction Date,Value,Current Balance
9830,30312615,2023-02-05,-1852.7,-1193.34
9845,30324819,2023-02-05,-272.21,1177.69
9860,30340808,2023-02-05,,772.02
9875,30372316,2023-02-05,,9.98999999999998
9890,30374840,2023-02-05,,-810.2000000000002
9905,30396291,2023-02-05,,391.6600000000001
9920,30409599,2023-02-05,51.26,343.35
9935,30428666,2023-02-05,-29.05,214.26
9950,30484027,2023-02-05,78.67,362.34
9965,30511779,2023-02-05,,951.96
9980,30518350,2023-02-05,,490.85
9995,30557885,2023-02-05,-678.7,-62.88
10010,30565855,2023-02-05,1292.8,2274.85
10025,30623117,2023-02-05,,141.19
10040,30647433,2023-02-05,-100.81,-183.54
10055,30657838,2023-02-05,377.99999999999994,2979.0700000000006
10070,30671754,2023-02-05,,488.6
10085,30672740,2023-02-05,,542.73
10100,30688447,2023-02-05,-160.67,256.66
10115,30718836,2023-02-05,,395.76
10130,30723991,2023-02-05,,535.39
10145,30758515,2023-02-05,,199.22000000000003
10160,30760024,2023-02-05,,650.68
10175,30791105,2023-02-05,,351.65
10190,30929422,2023-02-05,,-119.04
10205,30970897,2023-02-05,201.75,-225.5
10220,30977834,2023-02-05,-35.3,854.9300000000001
10235,30979429,2023-02-05,104.27,448.73
10250,30990911,2023-02-05,,850.2
10265,31026801,2023-02-05,,138.35
10280,31131351,2023-02-05,,1425.46
10295,31150830,2023-02-05,-61.68,67.46000000000001
10310,31158381,2023-02-05,,878.08
10325,31183587,2023-02-05,1152.5,1821.87
10340,31187024,2023-02-05,,670.25
10355,31263913,2023-02-05,,85.34
10370,31319183,2023-02-05,,407.92
10385,31335654,2023-02-05,,343.32
10400,31367758,2023-02-05,,625.17
10415,31392168,2023-02-05,-177.67,437.75
10430,31525756,2023-02-05,,444.7
10445,31537778,2023-02-05,,298.76
10460,31541158,2023-02-05,,215.94
10475,31557275,2023-02-05,-63.32,136.38000000000002
10490,31589468,2023-02-05,,-54.370000000000005
10505,31594938,2023-02-05,230.5,487.11
10520,31595213,2023-02-05,,620.57
10535,31661113,2023-02-05,,377.49
10550,31670977,2023-02-05,,-1002.08
10565,31680976,2023-02-05,-65.73,179.97000000000003
10580,31689747,2023-02-05,,900.83
10595,31693244,2023-02-05,,214.72000000000003
10610,31759645,2023-02-05,,-380.91
10625,31770323,2023-02-05,,666.66
10640,31774984,2023-02-05,,1213.63
10655,31826534,2023-02-05,,446.2
10670,31830289,2023-02-05,,860.8399999999999
10685,31873155,2023-02-05,,470.05
10700,31957459,2023-02-05,,900.01
10715,31978646,2023-02-05,-172.62,220.89
10730,32019304,2023-02-05,,1027.45
10745,32084810,2023-02-05,-23.02,295.66
10760,32092491,2023-02-05,,327.46
10775,32109414,2023-02-05,-119.48,964.1
10790,32131123,2023-02-05,,775.2
10805,32192958,2023-02-05,1485.85,1852.63
10820,32221529,2023-02-05,,887.75
10835,32221652,2023-02-05,,-2872.94
10850,32261620,2023-02-05,,1240.64
10865,32275676,2023-02-05,,959.9
10880,32308270,2023-02-05,-62.56,1053.13
10895,32312381,2023-02-05,,646.08
10910,32312410,2023-02-05,,727.89
10925,32370392,2023-02-05,167.18,604.2
10940,32386770,2023-02-05,1131.8,2529.11
10955,32390015,2023-02-05,,264.12
10970,32400822,2023-02-05,,987.34
10985,32408166,2023-02-05,-32.769999999999996,-443.58
11000,32424424,2023-02-05,,848.04
11015,32474004,2023-02-05,-78.96,430.4500000000001
11030,32476086,2023-02-05,,67.66
11045,32597705,2023-02-05,,572.6099999999999
11060,32641357,2023-02-05,,20.08999999999999
11075,32679915,2023-02-05,,569.54
11090,32737909,2023-02-05,,1074.42
11105,32803222,2023-02-05,,747.0
11120,32824719,2023-02-05,,492.57
11135,32888555,2023-02-05,-74.16,783.2800000000001
11150,32930305,2023-02-05,151.29,201.0
11165,32934183,2023-02-05,,31.50999999999999
11180,32973728,2023-02-05,,321.03
11195,32991596,2023-02-05,65.54,987.94
11210,33014501,2023-02-05,-80.26,436.03
11225,33112628,2023-02-05,133.1,1454.13
11240,33116647,2023-02-05,-60.9,399.3
11255,33159039,2023-02-05,-269.81,-409.5
11270,33168725,2023-02-05,,-71.95999999999998
11285,33173974,2023-02-05,-106.32,128.56
11300,33202593,2023-02-05,,329.25
11315,33240853,2023-02-05,,864.77
11330,33259781,2023-02-05,65.57,895.3199999999999
11345,33270307,2023-02-05,,-49.48000000000001
11360,33348876,2023-02-05,60.35,286.74
11375,33351056,2023-02-05,,1611.4899999999998
11390,33381880,2023-02-05,,643.52
11405,33403100,2023-02-05,,270.23
11420,33414190,2023-02-05,,267.92
11435,33424425,2023-02-05,,700.99
11450,33470885,2023-02-05,-70.44,459.52
11465,33505838,2023-02-05,54.53,130.92000000000002
11480,33527603,2023-02-05,,413.42
11495,33527759,2023-02-05,,245.55
11510,33561341,2023-02-05,17.25,868.72
11525,33632099,2023-02-05,-34.76,-489.6500000000001
11540,33634912,2023-02-05,,756.63
11555,33749113,2023-02-05,-102.17,343.22
11570,33749812,2023-02-05,110.07,-794.26
11585,33750944,2023-02-05,-138.66,-38.22
11600,33771855,2023-02-05,-230.5,282.8299999999999
11615,33806253,2023-02-05,-144.63,853.99
11630,33832864,2023-02-05,,-191.05
11645,33906740,2023-02-05,,-57.33999999999992
11660,33914941,2023-02-05,-142.97,257.38
11675,33915504,2023-02-05,,742.98
11690,33967237,2023-02-05,,640.94
11705,34017695,2023-02-05,-36.56,641.1700000000001
11720,34027487,2023-02-05,,-1.1500000000000057
11735,34112514,2023-02-05,,974.1
11750,34128127,2023-02-05,977.8000000000001,1341.73
11765,34158235,2023-02-05,65.82,126.61999999999998
11780,34190086,2023-02-05,,956.77
11795,34252525,2023-02-05,,-118.72999999999996
11810,34264499,2023-02-05,,864.86
11825,34275044,2023-02-05,,532.29
11840,34284479,2023-02-05,155.64,204.36
11855,34336001,2023-02-05,,348.36
11870,34351752,2023-02-05,-227.66,-237.52
11885,34374766,2023-02-05,,1797.3200000000002
11900,34400277,2023-02-05,6.72,-884.15
11915,34403979,2023-02-05,,261.2
11930,34461285,2023-02-05,,233.55
11945,34482885,2023-02-05,-161.46,198.38
11960,34650969,2023-02-05,-116.94,60.88
11975,34681193,2023-02-05,,33.64999999999998
11990,34866268,2023-02-05,,338.44999999999993
12005,34867145,2023-02-05,-135.59,-134.70000000000002
12020,34902863,2023-02-05,,-126.4
12035,34908905,2023-02-05,17.69,802.87
12050,34921262,2023-02-05,-1917.1,-945.28
12065,34960760,2023-02-05,,790.89
12080,35038984,2023-02-05,,566.36
12095,35051369,2023-02-05,,507.50999999999993
12110,35082945,2023-02-05,,713.95
12125,35083564,2023-02-05,144.77,744.76
12140,35126236,2023-02-05,,315.56999999999994
12155,35160368,2023-02-05,248.39999999999998,343.54
12170,35177782,2023-02-05,,228.57
12185,35194218,2023-02-05,-812.6,177.80000000000007
12200,35197451,2023-02-05,227.64999999999998,642.5
12215,35210460,2023-02-05,,2024.34
12230,35293864,2023-02-05,,524.0799999999999
12245,35321469,2023-02-05,,151.47
12260,35330225,2023-02-05,72.1,946.38
12275,35345678,2023-02-05,,650.64
12290,35379604,2023-02-05,,171.68
12305,35391237,2023-02-05,,-124.96999999999996
12320,35391340,2023-02-05,,792.14
12335,35405748,2023-02-05,,1513.5
12350,35445202,2023-02-05,42.25,1058.06
12365,35506101,2023-02-05,,569.8199999999999
12380,35510004,2023-02-05,,723.62
12395,35539408,2023-02-05,,469.13
12410,35540836,2023-02-05,,300.7
12425,35549277,2023-02-05,,813.81
12440,35555120,2023-02-05,-112.03,486.69000000000005
12455,35564578,2023-02-05,-33.32,846.61
12470,35574156,2023-02-05,,340.95000000000005
12485,35614465,2023-02-05,,736.99
12500,35616763,2023-02-05,98.9,706.0999999999999
12515,35633136,2023-02-05,,603.11
12530,35642953,2023-02-05,,137.26
12545,35652360,2023-02-05,,129.11
12560,35698347,2023-02-05,,258.22
12575,35712712,2023-02-05,,1015.02
12590,35721788,2023-02-05,-189.35,2243.6400000000003
12605,35726421,2023-02-05,,342.8
12620,35746207,2023-02-05,,764.04
12635,35762783,2023-02-05,,380.78
12650,35772673,2023-02-05,,441.51
12665,35799522,2023-02-05,,788.5
12680,35805852,2023-02-05,,912.65
12695,35827625,2023-02-05,,310.26
12710,35869347,2023-02-05,,669.6800000000001
12725,35948735,2023-02-05,,117.14
12740,35996817,2023-02-05,39.08,-1214.25
12755,36007496,2023-02-05,,263.27
12770,36106467,2023-02-05,,774.28
12785,36110938,2023-02-05,-151.15,381.62
12800,36112473,2023-02-05,,634.9499999999999
12815,36114551,2023-02-05,,-624.31
12830,36126802,2023-02-05,,735.01
12845,36131723,2023-02-05,,1325.96
12860,36141472,2023-02-05,,656.7
12875,36143004,2023-02-05,,64.53000000000003
12890,36171568,2023-02-05,,343.44
12905,36192947,2023-02-05,-397.2,467.44000000000005
12920,36197772,2023-02-05,,750.91
12935,36258926,2023-02-05,,549.71
12950,36259936,2023-02-05,403.6,1050.6
12965,36296704,2023-02-05,16.24,483.64
12980,36327122,2023-02-05,,681.2099999999999
12995,36389309,2023-02-05,,469.45
13010,36393557,2023-02-05,-101.16,206.89
13025,36419197,2023-02-05,,757.23
13040,36425954,2023-02-05,,229.79
13055,36519974,2023-02-05,-129.47,792.9399999999999
13070,36549889,2023-02-05,,760.2
13085,36551112,2023-02-05,143.88,1107.07
13100,36596942,2023-02-05,,681.8199999999999
13115,36611100,2023-02-05,-91.56,-27.640000000000043
13130,36636385,2023-02-05,,925.51
13145,36668239,2023-02-05,,2135.25
13160,36692647,2023-02-05,,876.64
13175,36696277,2023-02-05,,548.85
13190,36725272,2023-02-05,129.27,234.87
13205,36837451,2023-02-05,,916.42
13220,36841261,2023-02-05,,155.01999999999998
13235,36849841,2023-02-05,114.02,386.7099999999999
13250,36871984,2023-02-05,-103.29,846.6
13265,36949196,2023-02-05,,645.27
13280,36982820,2023-02-05,-74.55,1358.71
13295,37004975,2023-02-05,122.25,702.48
13310,37017424,2023-02-05,,-1.8499999999999943
13325,37062632,2023-02-05,,575.6800000000001
13340,37146521,2023-02-05,,359.08
13355,37164421,2023-02-05,,448.1
13370,37247834,2023-02-05,,-766.8699999999999
13385,37256412,2023-02-05,135.39,-1369.5800000000002
13400,37267391,2023-02-05,,150.06000000000006
13415,37273974,2023-02-05,62.54,1556.58
13430,37274865,2023-02-05,,95.23
13445,37297429,2023-02-05,45.9,1623.46
13460,37319261,2023-02-05,,475.03
13475,37369245,2023-02-05,-40.41,252.49
13490,37407392,2023-02-05,-6.87,894.77
13505,37443706,2023-02-05,,709.4100000000001
13520,37503622,2023-02-05,,-1986.44
13535,37510139,2023-02-05,116.94,-162.52999999999986
13550,37528735,2023-02-05,,275.92
13565,37561049,2023-02-05,1922.5,2626.51
13580,37599317,2023-02-05,,126.14
13595,37642787,2023-02-05,,159.88
13610,37658218,2023-02-05,,1091.6999999999998
13625,37678813,2023-02-05,,700.2099999999999
13640,37767441,2023-02-05,,717.3000000000001
13655,37789180,2023-02-05,,797.9499999999999
13670,37796234,2023-02-05,,2765.74
13685,37830423,2023-02-05,55.38,376.66
13700,37878074,2023-02-05,,-731.3700000000001
13715,37905098,2023-02-05,,502.63
13730,37936898,2023-02-05,,542.41
13745,37945317,2023-02-05,,660.6500000000001
13760,37953007,2023-02-05,,-283.4100000000001
13775,38032055,2023-02-05,,383.96
13790,38038623,2023-02-05,1345.1,1872.08
13805,38124225,2023-02-05,107.79,1051.38
13820,38157078,2023-02-05,,1421.15
13835,38224160,2023-02-05,,489.8200000000001
13850,38291062,2023-02-05,-78.67,325.59000000000003
13865,38316158,2023-02-05,319.94,532.83
13880,38346624,2023-02-05,,740.09
13895,38395807,2023-02-05,,463.52
13910,38428295,2023-02-05,,690.12
13925,38429514,2023-02-05,,435.61
13940,38442044,2023-02-05,,148.01
13955,38487215,2023-02-05,,1579.26
13970,38495059,2023-02-05,,-22.42
13985,38502892,2023-02-05,,600.32
14000,38528119,2023-02-05,,165.9
14015,38558525,2023-02-05,,895.32
14030,38564653,2023-02-05,104.58,756.0300000000001
14045,38587383,2023-02-05,,423.28
14060,38606148,2023-02-05,,840.8100000000001
14075,38627867,2023-02-05,-99.91,32.83000000000001
14090,38690875,2023-02-05,,194.18
14105,38740782,2023-02-05,-61.09,508.0
14120,38749064,2023-02-05,,-633.29
14135,38764064,2023-02-05,,716.09
14150,38780970,2023-02-05,,845.58
14165,38839019,2023-02-05,,915.22
14180,38903150,2023-02-05,,38.31999999999999
14195,38921478,2023-02-05,-1223.22,-567.4100000000001
14210,38957380,2023-02-05,,84.53999999999999
14225,38969279,2023-02-05,-1983.2499999999998,-65.15999999999991
14240,38990596,2023-02-05,,1571.58
14255,38991889,2023-02-05,-104.95,187.40000000000003
14270,39001531,2023-02-05,,814.21
14285,39013360,2023-02-05,,1282.84
14300,39061853,2023-02-05,-117.54,574.95
14315,39093565,2023-02-05,,-71.74
14330,39097663,2023-02-05,,451.2000000000001
14345,39122920,2023-02-05,,445.68
14360,39123048,2023-02-05,,77.60000000000002
14375,39160879,2023-02-05,,390.31
14390,39161053,2023-02-05,343.45000000000005,901.25
14405,39267013,2023-02-05,,-1114.96
14420,39298122,2023-02-05,,1058.08
14435,39360799,2023-02-05,,-1490.68
14450,39386771,2023-02-05,,-73.71000000000001
14465,39398476,2023-02-05,,648.13
14480,39400991,2023-02-05,10.32,906.76
14495,39402264,2023-02-05,126.99,2375.33
14510,39427922,2023-02-05,,785.64
14525,39491241,2023-02-05,122.18,786.1800000000001
14540,39502821,2023-02-05,26.93,1244.96
14555,39504855,2023-02-05,-124.37,884.86
14570,39516154,2023-02-05,,-652.2299999999999
14585,39516203,2023-02-05,,818.3800000000001
14600,39529729,2023-02-05,,550.84
14615,39542358,2023-02-05,,671.28
14630,39590347,2023-02-05,-101.45,42.97
14645,39602737,2023-02-05,,881.44
14660,39620163,2023-02-05,-193.2,-193.88
14675,39623640,2023-02-05,,658.86
14690,39662559,2023-02-05,,536.88
14705,39684993,2023-02-05,27.15,910.96
14720,39710099,2023-02-05,-63.96,6.240000000000009
14735,39744047,2023-02-05,,505.93
14750,39749381,2023-02-05,,406.22
14765,39772392,2023-02-05,,541.66
14780,39822234,2023-02-05,17.88,1629.13
14795,39863459,2023-02-05,,217.67
14810,39875057,2023-02-05,-149.4,-23.38000000000001
14825,39920664,2023-02-05,,627.45
14840,39974803,2023-02-05,,614.04
14855,40004707,2023-02-05,,280.99
14870,40039031,2023-02-05,,916.72
14885,40048102,2023-02-05,,622.54
14900,40082477,2023-02-05,,40.63
14915,40082950,2023-02-05,,282.44
14930,40091206,2023-02-05,,899.0600000000001
14945,40098771,2023-02-05,,694.84
14960,40098912,2023-02-05,,951.18
14975,40112082,2023-02-05,,191.82
14990,40127778,2023-02-05,-206.28,-300.8
15005,40176462,2023-02-05,276.4,1213.84
15020,40189934,2023-02-05,,922.71
15035,40224914,2023-02-05,-104.89,-43.71999999999999
15050,40247376,2023-02-05,,143.76
15065,40374724,2023-02-05,-0.9799999999999969,787.26
15080,40436811,2023-02-05,,350.13
15095,40507682,2023-02-05,,527.4300000000001
15110,40530538,2023-02-05,,364.98
15125,40548885,2023-02-05,130.7,265.2
15140,40550712,2023-02-05,85.05,596.4499999999999
15155,40551490,2023-02-05,101.23,3.790000000000077
15170,40600852,2023-02-05,,104.95
15185,40631802,2023-02-05,,-98.35999999999996
15200,40673170,2023-02-05,,117.1
15215,40712298,2023-02-05,,781.72
15230,40745545,2023-02-05,,185.02000000000004
15245,40745965,2023-02-05,-98.72,-828.4
15260,40797438,2023-02-05,,614.93
15275,40813783,2023-02-05,,418.87
15290,40872555,2023-02-05,,-1040.25
15305,40898013,2023-02-05,28.46,318.2900000000001
15320,40906801,2023-02-05,,244.99
15335,41022448,2023-02-05,,37.89
15350,41036701,2023-02-05,,-553.3100000000001
15365,41038634,2023-02-05,,764.24
15380,41085190,2023-02-05,37.99,186.71000000000004
15395,41170515,2023-02-05,,940.51
15410,41194009,2023-02-05,,585.15
15425,41211432,2023-02-05,,341.06
15440,41245288,2023-02-05,92.78,633.39
15455,41245805,2023-02-05,,1306.67
15470,41252281,2023-02-05,-89.54,891.69
15485,41282329,2023-02-05,1685.4,1723.45
15500,41356963,2023-02-05,-23.489999999999995,455.67
15515,41420018,2023-02-05,,697.63
15530,41542689,2023-02-05,,9.72
15545,41561470,2023-02-05,161.25,1606.25
15560,41574018,2023-02-05,-118.39,277.23
15575,41584073,2023-02-05,96.95,737.73
15590,41664336,2023-02-05,,898.48
15605,41706310,2023-02-05,89.54,404.92
15620,41716822,2023-02-05,,496.12
15635,41741558,2023-02-05,-39.76,352.4
15650,41755476,2023-02-05,,340.44
15665,41773473,2023-02-05,,423.47
15680,41778536,2023-02-05,,854.67
15695,41852767,2023-02-05,,1209.58
15710,41879906,2023-02-05,,53.47
15725,41881442,2023-02-05,,302.53000000000003
15740,41914097,2023-02-05,,997.73
15755,41919083,2023-02-05,,620.53
15770,41954037,2023-02-05,,768.8
15785,41972741,2023-02-05,,497.11
15800,41981752,2023-02-05,-179.42,664.19
15815,42017456,2023-02-05,-62.54,697.03
15830,42181728,2023-02-05,116.94,-6.780000000000001
15845,42202867,2023-02-05,,614.83
15860,42232896,2023-02-05,,542.38
15875,42235537,2023-02-05,,651.1700000000001
15890,42245590,2023-02-05,,404.8
15905,42255054,2023-02-05,144.67,1243.56
15920,42268900,2023-02-05,-46.87,610.03
15935,42300418,2023-02-05,,-1607.21
15950,42311039,2023-02-05,160.67,407.78
15965,42322494,2023-02-05,,471.23
15980,42340050,2023-02-05,130.71,1209.88
15995,42396753,2023-02-05,,590.44
16010,42509068,2023-02-05,-63.95,826.6099999999999
16025,42515631,2023-02-05,,186.74
16040,42546381,2023-02-05,68.5,477.8
16055,42589255,2023-02-05,,624.81
16070,42602631,2023-02-05,,342.64
16085,42652193,2023-02-05,-129.51,1902.52
16100,42726921,2023-02-05,56.599999999999994,646.75
16115,42726928,2023-02-05,181.42,555.9499999999999
16130,42746180,2023-02-05,-8.72,-1607.37
16145,42752982,2023-02-05,,526.19
16160,42783101,2023-02-05,,228.66
16175,42813808,2023-02-05,,633.08
16190,42838186,2023-02-05,,523.03
16205,42882563,2023-02-05,,419.69
16220,42889744,2023-02-05,,306.23
16235,43017336,2023-02-05,,783.13
16250,43017598,2023-02-05,,3.25
16265,43032836,2023-02-05,,896.19
16280,43064169,2023-02-05,974.8,2377.94
16295,43074888,2023-02-05,118.76,767.6800000000001
16310,43080619,2023-02-05,17.93,422.0
16325,43140934,2023-02-05,103.03999999999999,923.85
16340,43257373,2023-02-05,,394.7000000000001
16355,43265708,2023-02-05,,1089.12
16370,43312288,2023-02-05,-84.4,520.6899999999999
16385,43329727,2023-02-05,,-849.8199999999999
16400,43330367,2023-02-05,,119.6
16415,43338400,2023-02-05,,567.61
16430,43354643,2023-02-05,,968.97
16445,43365633,2023-02-05,,57.11
16460,43368978,2023-02-05,,188.56
16475,43387803,2023-02-05,70.75,825.37
16490,43417466,2023-02-05,,940.86
16505,43420385,2023-02-05,,999.39
16520,43453543,2023-02-05,,867.4399999999999
16535,43490748,2023-02-05,,664.06
16550,43499771,2023-02-05,,106.87
16565,43541008,2023-02-05,-1201.52,-682.77
16580,43597919,2023-02-05,,811.1
16595,43616790,2023-02-05,61.68,489.68
16610,43623061,2023-02-05,,2151.11
16625,43772330,2023-02-05,-143.73,387.84
16640,43781476,2023-02-05,,473.43
16655,43811112,2023-02-05,5.44,7.670000000000002
16670,43830772,2023-02-05,,247.91
16685,43843937,2023-02-05,,79.03
16700,43858112,2023-02-05,-65.82,461.36
16715,43860538,2023-02-05,,388.25
16730,43892675,2023-02-05,,1061.98
16745,43930935,2023-02-05,,508.75
16760,43979238,2023-02-05,,338.85
16775,44007497,2023-02-05,-87.07,286.07000000000005
16790,44009985,2023-02-05,,777.1099999999999
16805,44019515,2023-02-05,,277.56
16820,44066457,2023-02-05,102.9,1307.75
16835,44075619,2023-02-05,217.15,1196.15
16850,44130477,2023-02-05,,1474.23
16865,44133867,2023-02-05,,436.76
16880,44140049,2023-02-05,,372.02
16895,44145489,2023-02-05,,723.25
16910,44162563,2023-02-05,,325.77
16925,44164363,2023-02-05,,1090.73
16940,44228646,2023-02-05,1256.81,3299.3
16955,44234432,2023-02-05,,271.71000000000004
16970,44239230,2023-02-05,,201.48
16985,44242297,2023-02-05,962.0,1408.98
17000,44243236,2023-02-05,,904.36
17015,44272912,2023-02-05,,305.92
17030,44281556,2023-02-05,,-46.7
17045,44310966,2023-02-05,137.15,469.31
17060,44317934,2023-02-05,,2646.01
17075,44331942,2023-02-05,,724.54
17090,44358901,2023-02-05,,525.75
17105,44364430,2023-02-05,,240.83
17120,44368280,2023-02-05,,305.06
17135,44378133,2023-02-05,,998.38
17150,44389169,2023-02-05,,926.88
17165,44413402,2023-02-05,,98.77
17180,44427272,2023-02-05,108.26,906.8
17195,44474369,2023-02-05,,663.93
17210,44516940,2023-02-05,,747.98
17225,44537960,2023-02-05,,601.28
17240,44564500,2023-02-05,,637.5799999999999
17255,44586370,2023-02-05,,355.91
17270,44626164,2023-02-05,,915.14
17285,44662337,2023-02-05,,887.8
17300,44701536,2023-02-05,,919.22
17315,44711172,2023-02-05,,499.42
17330,44759468,2023-02-05,,1006.7
17345,44794340,2023-02-05,,488.91
17360,44812075,2023-02-05,,1473.0
17375,44816910,2023-02-05,-99.80000000000001,405.09
17390,44873253,2023-02-05,-93.57,635.84
17405,44902994,2023-02-05,99.16,-353.38999999999976
17420,44912164,2023-02-05,-29.75,215.19
17435,45015534,2023-02-05,,215.54
17450,45015570,2023-02-05,,1798.19
17465,45020832,2023-02-05,-158.24,128.64999999999998
17480,45021115,2023-02-05,,464.27
17495,45021398,2023-02-05,,1376.27
17510,45026430,2023-02-05,,924.25
17525,45027876,2023-02-05,,21.04000000000002
17540,45029598,2023-02-05,,558.87
17555,45067158,2023-02-05,22.33,-145.01
17570,45089475,2023-02-05,,557.28
17585,45111669,2023-02-05,,597.62
17600,45161114,2023-02-05,,417.03
17615,45196342,2023-02-05,,369.16
17630,45238909,2023-02-05,,1025.68
17645,45242171,2023-02-05,,258.78
17660,45253870,2023-02-05,,273.37
17675,45275334,2023-02-05,,71.83
17690,45397824,2023-02-05,,653.8
17705,45519330,2023-02-05,,818.77
17720,45543867,2023-02-05,,863.1400000000001
17735,45558696,2023-02-05,-1526.1,1124.09
17750,45611838,2023-02-05,,825.27
17765,45631973,2023-02-05,-220.0,465.12000000000006
17780,45639009,2023-02-05,-78.0,230.09000000000003
17795,45688415,2023-02-05,,2259.09
17810,45706674,2023-02-05,109.63,-864.95
17825,45740727,2023-02-05,149.91,1054.18
17840,45790907,2023-02-05,167.2,2198.98
17855,45816894,2023-02-05,,146.67000000000002
17870,45822265,2023-02-05,-1671.05,-1083.65
17885,45829157,2023-02-05,23.74,54.03999999999997
17900,45859156,2023-02-05,166.03,784.8299999999999
17915,45960045,2023-02-05,,1030.85
17930,45974864,2023-02-05,,848.67
17945,46012936,2023-02-05,,53.760000000000005
17960,46059921,2023-02-05,,731.27
17975,46064017,2023-02-05,60.9,892.39
17990,46067647,2023-02-05,,436.0
18005,46073044,2023-02-05,,957.36
18020,46085917,2023-02-05,,340.16
18035,46100177,2023-02-05,,161.92999999999995
18050,46133743,2023-02-05,,762.26
18065,46215382,2023-02-05,-114.53,-1420.63
18080,46230315,2023-02-05,,-28.12
18095,46231176,2023-02-05,-46.86,-893.35
18110,46255563,2023-02-05,,528.77
18125,46322903,2023-02-05,,873.01
18140,46326165,2023-02-05,,477.52
18155,46346470,2023-02-05,,560.9300000000001
18170,46355307,2023-02-05,,165.22
18185,46442210,2023-02-05,,613.92
18200,46479025,2023-02-05,,366.41
18215,46525458,2023-02-05,-1748.6,-810.1999999999999
18230,46552077,2023-02-05,,617.5699999999999
18245,46561814,2023-02-05,,286.63
18260,46597215,2023-02-05,,455.5
18275,46597728,2023-02-05,749.9,1781.61
18290,46643937,2023-02-05,,813.65
18305,46663039,2023-02-05,,867.3299999999999
18320,46730484,2023-02-05,,510.37
18335,46741126,2023-02-05,,109.05
18350,46768821,2023-02-05,,684.04
18365,46790294,2023-02-05,,570.28
18380,46792863,2023-02-05,,849.79
18395,46851905,2023-02-05,140.22,448.63
18410,46854962,2023-02-05,,412.12
18425,46879333,2023-02-05,,462.44
18440,46913859,2023-02-05,88.7,379.21
18455,46920610,2023-02-05,-125.12,149.75
18470,46925211,2023-02-05,,698.71
18485,47040996,2023-02-05,,528.79
18500,47091705,2023-02-05,1052.72,1013.61
18515,47115177,2023-02-05,,813.2
18530,47127756,2023-02-05,,198.55
18545,47133143,2023-02-05,,574.3299999999999
18560,47172665,2023-02-05,,11.06
18575,47226769,2023-02-05,,443.45
18590,47232232,2023-02-05,,179.84
18605,47266645,2023-02-05,,892.87
18620,47313428,2023-02-05,,1170.07
18635,47356348,2023-02-05,,1289.75
18650,47406737,2023-02-05,,1739.13
18665,47414258,2023-02-05,,900.7
18680,47473145,2023-02-05,,801.43
18695,47483982,2023-02-05,,661.58
18710,47582488,2023-02-05,-197.88,366.62
18725,47654093,2023-02-05,161.8,392.54
18740,47763906,2023-02-05,,772.66
18755,47781255,2023-02-05,-67.95,525.26
18770,47808992,2023-02-05,,885.16
18785,47824990,2023-02-05,,704.97
18800,47886866,2023-02-05,,479.31
18815,47902339,2023-02-05,-65.25,854.67
18830,47932460,2023-02-05,,669.76
18845,47964895,2023-02-05,-184.78,686.3100000000001
18860,48018851,2023-02-05,897.5,1185.76
18875,48029032,2023-02-05,,422.88
18890,48050578,2023-02-05,,203.26
18905,48056301,2023-02-05,,930.1
18920,48071843,2023-02-05,,768.94
18935,48075275,2023-02-05,,822.41
18950,48081999,2023-02-05,111.66,687.68
18965,48131431,2023-02-05,,680.8699999999999
18980,48185625,2023-02-05,,640.82
18995,48186857,2023-02-05,,663.5799999999999
19010,48271608,2023-02-05,,563.21
19025,48318402,2023-02-05,,809.48
19040,48350476,2023-02-05,-92.4,34.420000000000016
19055,48399121,2023-02-05,,984.98
19070,48429255,2023-02-05,,79.7
19085,48434572,2023-02-05,,338.88
19100,48444386,2023-02-05,-91.73,870.84
19115,48491614,2023-02-05,,875.33
19130,48500030,2023-02-05,,917.05
19145,48507357,2023-02-05,,1061.34
19160,48524535,2023-02-05,,271.29
19175,48532894,2023-02-05,,851.59
19190,48553648,2023-02-05,-12.08,-53.69
19205,48569537,2023-02-05,-178.08,-956.39
19220,48591774,2023-02-05,,415.0
19235,48625559,2023-02-05,,739.61
19250,48654969,2023-02-05,,127.24
19265,48722022,2023-02-05,-45.1,665.3000000000001
19280,48733708,2023-02-05,-118.28,78.57000000000005
19295,48757991,2023-02-05,,818.2
19310,48781678,2023-02-05,150.73,-304.22
19325,48783408,2023-02-05,,520.45
19340,48799650,2023-02-05,,244.1
19355,48831634,2023-02-05,,-1537.77
19370,48860469,2023-02-05,,563.89
19385,48875351,2023-02-05,,239.7
19400,48886521,2023-02-05,-101.6,1142.57
19415,48906756,2023-02-05,637.3,1636.21
19430,48911149,2023-02-05,144.63,725.17
19445,48930319,2023-02-05,-245.98,593.26
19460,48940493,2023-02-05,391.1,1196.33
19475,48976336,2023-02-05,,-1686.7800000000002
19490,49031081,2023-02-05,,950.51
19505,49031379,2023-02-05,,672.59
19520,49039474,2023-02-05,-1168.4,-303.97
19535,49071892,2023-02-05,,945.94
19550,49075324,2023-02-05,,-455.76
19565,49095464,2023-02-05,,-53.42999999999999
19580,49127699,2023-02-05,,239.16
19595,49157903,2023-02-05,175.05,-217.0300000000001
19610,49172838,2023-02-05,,23.28
19625,49186099,2023-02-05,,508.82
19640,49216581,2023-02-05,,157.01
